Square,Amps
-4.9765E+00,2.03539E-04
-4.9744E+00,1.81838E-04
-4.9724E+00,1.91386E-04
-4.9704E+00,1.93991E-04
-4.9684E+00,1.98331E-04
-4.9664E+00,1.94859E-04
-4.9644E+00,2.10484E-04
-4.9624E+00,2.03539E-04
-4.9603E+00,1.99199E-04
-4.9583E+00,1.88782E-04
-4.9563E+00,1.94859E-04
-4.9543E+00,1.86178E-04
-4.9523E+00,1.87914E-04
-4.9503E+00,1.84442E-04
-4.9483E+00,1.82706E-04
-4.9462E+00,2.78192E-04
-4.9442E+00,2.13956E-04
-4.9422E+00,2.00067E-04
-4.9402E+00,2.01803E-04
-4.9382E+00,1.99199E-04
-4.9362E+00,1.97463E-04
-4.9341E+00,1.78366E-04
-4.9321E+00,1.90518E-04
-4.9301E+00,1.88782E-04
-4.9281E+00,1.83574E-04
-4.9261E+00,1.91386E-04
-4.9241E+00,2.13088E-04
-4.9221E+00,2.09616E-04
-4.9200E+00,1.97463E-04
-4.9180E+00,2.02671E-04
-4.9160E+00,2.02671E-04
-4.9140E+00,1.80970E-04
-4.9120E+00,1.80970E-04
-4.9100E+00,1.82706E-04
-4.9080E+00,1.77498E-04
-4.9059E+00,1.82706E-04
-4.9039E+00,1.89650E-04
-4.9019E+00,1.87914E-04
-4.8999E+00,1.88782E-04
-4.8979E+00,1.90518E-04
-4.8959E+00,1.79234E-04
-4.8939E+00,1.70553E-04
-4.8918E+00,1.68817E-04
-4.8898E+00,1.74893E-04
-4.8878E+00,1.67949E-04
-4.8858E+00,1.82706E-04
-4.8838E+00,1.90518E-04
-4.8818E+00,1.87914E-04
-4.8797E+00,1.88782E-04
-4.8777E+00,1.87046E-04
-4.8757E+00,1.79234E-04
-4.8737E+00,1.70553E-04
-4.8717E+00,1.77498E-04
-4.8697E+00,1.85310E-04
-4.8677E+00,1.80102E-04
-4.8656E+00,1.91386E-04
-4.8636E+00,1.87046E-04
-4.8616E+00,1.80970E-04
-4.8596E+00,1.80970E-04
-4.8576E+00,1.95727E-04
-4.8556E+00,1.76629E-04
-4.8536E+00,1.68817E-04
-4.8515E+00,2.55623E-04
-4.8495E+00,1.94859E-04
-4.8475E+00,1.74025E-04
-4.8455E+00,1.82706E-04
-4.8435E+00,1.88782E-04
-4.8415E+00,1.90518E-04
-4.8395E+00,1.90518E-04
-4.8374E+00,2.04407E-04
-4.8354E+00,1.77498E-04
-4.8334E+00,1.80970E-04
-4.8314E+00,1.84442E-04
-4.8294E+00,1.86178E-04
-4.8274E+00,1.79234E-04
-4.8253E+00,1.99199E-04
-4.8233E+00,1.98331E-04
-4.8213E+00,2.07879E-04
-4.8193E+00,1.93123E-04
-4.8173E+00,2.07011E-04
-4.8153E+00,1.83574E-04
-4.8133E+00,1.85310E-04
-4.8112E+00,1.84442E-04
-4.8092E+00,1.92254E-04
-4.8072E+00,1.79234E-04
-4.8052E+00,2.06143E-04
-4.8032E+00,2.00935E-04
-4.8012E+00,1.98331E-04
-4.7992E+00,1.92254E-04
-4.7971E+00,2.09616E-04
-4.7951E+00,1.72289E-04
-4.7931E+00,1.88782E-04
-4.7911E+00,1.87046E-04
-4.7891E+00,1.93991E-04
-4.7871E+00,1.76629E-04
-4.7851E+00,2.12220E-04
-4.7830E+00,2.04407E-04
-4.7810E+00,2.08748E-04
-4.7790E+00,1.99199E-04
-4.7770E+00,2.24373E-04
-4.7750E+00,1.88782E-04
-4.7730E+00,1.97463E-04
-4.7710E+00,1.89650E-04
-4.7689E+00,1.99199E-04
-4.7669E+00,1.89650E-04
-4.7649E+00,2.15692E-04
-4.7629E+00,2.05275E-04
-4.7609E+00,2.05275E-04
-4.7589E+00,2.04407E-04
-4.7568E+00,2.79928E-04
-4.7548E+00,1.99199E-04
-4.7528E+00,1.94859E-04
-4.7508E+00,1.91386E-04
-4.7488E+00,1.95727E-04
-4.7468E+00,1.80102E-04
-4.7448E+00,2.08748E-04
-4.7427E+00,1.97463E-04
-4.7407E+00,1.99199E-04
-4.7387E+00,2.03539E-04
-4.7367E+00,2.10484E-04
-4.7347E+00,1.87046E-04
-4.7327E+00,1.99199E-04
-4.7307E+00,1.88782E-04
-4.7286E+00,1.93991E-04
-4.7266E+00,1.88782E-04
-4.7246E+00,2.15692E-04
-4.7226E+00,2.08748E-04
-4.7206E+00,2.05275E-04
-4.7186E+00,2.04407E-04
-4.7166E+00,2.10484E-04
-4.7145E+00,1.87046E-04
-4.7125E+00,2.01803E-04
-4.7105E+00,2.00935E-04
-4.7085E+00,2.03539E-04
-4.7065E+00,1.92254E-04
-4.7045E+00,2.20032E-04
-4.7024E+00,2.13956E-04
-4.7004E+00,2.09616E-04
-4.6984E+00,2.02671E-04
-4.6964E+00,2.05275E-04
-4.6944E+00,1.88782E-04
-4.6924E+00,1.99199E-04
-4.6904E+00,1.93123E-04
-4.6883E+00,1.97463E-04
-4.6863E+00,1.90518E-04
-4.6843E+00,2.12220E-04
-4.6823E+00,2.10484E-04
-4.6803E+00,2.03539E-04
-4.6783E+00,2.09616E-04
-4.6763E+00,2.20032E-04
-4.6742E+00,1.91386E-04
-4.6722E+00,2.04407E-04
-4.6702E+00,2.00935E-04
-4.6682E+00,1.92254E-04
-4.6662E+00,1.93123E-04
-4.6642E+00,2.66039E-04
-4.6622E+00,2.43470E-04
-4.6601E+00,2.03539E-04
-4.6581E+00,2.08748E-04
-4.6561E+00,2.08748E-04
-4.6541E+00,1.85310E-04
-4.6521E+00,1.94859E-04
-4.6501E+00,2.03539E-04
-4.6481E+00,1.99199E-04
-4.6460E+00,1.99199E-04
-4.6440E+00,2.09616E-04
-4.6420E+00,1.97463E-04
-4.6400E+00,1.97463E-04
-4.6380E+00,2.07011E-04
-4.6360E+00,2.02671E-04
-4.6339E+00,1.87914E-04
-4.6319E+00,1.94859E-04
-4.6299E+00,1.99199E-04
-4.6279E+00,1.92254E-04
-4.6259E+00,1.94859E-04
-4.6239E+00,2.07879E-04
-4.6219E+00,2.02671E-04
-4.6198E+00,1.97463E-04
-4.6178E+00,2.00067E-04
-4.6158E+00,1.89650E-04
-4.6138E+00,1.83574E-04
-4.6118E+00,1.85310E-04
-4.6098E+00,1.92254E-04
-4.6078E+00,1.91386E-04
-4.6057E+00,2.04407E-04
-4.6037E+00,2.17428E-04
-4.6017E+00,2.05275E-04
-4.5997E+00,2.00067E-04
-4.5977E+00,2.09616E-04
-4.5957E+00,1.97463E-04
-4.5937E+00,1.93991E-04
-4.5916E+00,1.86178E-04
-4.5896E+00,1.93991E-04
-4.5876E+00,1.88782E-04
-4.5856E+00,2.07011E-04
-4.5836E+00,2.00935E-04
-4.5816E+00,2.06143E-04
-4.5795E+00,1.93991E-04
-4.5775E+00,2.07879E-04
-4.5755E+00,1.85310E-04
-4.5735E+00,1.87046E-04
-4.5715E+00,1.83574E-04
-4.5695E+00,2.00935E-04
-4.5675E+00,2.79060E-04
-4.5654E+00,2.21768E-04
-4.5634E+00,2.19164E-04
-4.5614E+00,2.02671E-04
-4.5594E+00,1.97463E-04
-4.5574E+00,2.13088E-04
-4.5554E+00,1.85310E-04
-4.5534E+00,1.94859E-04
-4.5513E+00,2.03539E-04
-4.5493E+00,2.02671E-04
-4.5473E+00,1.97463E-04
-4.5453E+00,2.18296E-04
-4.5433E+00,2.10484E-04
-4.5413E+00,2.07879E-04
-4.5393E+00,2.07011E-04
-4.5372E+00,2.26109E-04
-4.5352E+00,1.99199E-04
-4.5332E+00,2.04407E-04
-4.5312E+00,2.07011E-04
-4.5292E+00,2.06143E-04
-4.5272E+00,1.90518E-04
-4.5252E+00,2.25241E-04
-4.5231E+00,2.14824E-04
-4.5211E+00,2.13956E-04
-4.5191E+00,2.03539E-04
-4.5171E+00,2.25241E-04
-4.5151E+00,1.90518E-04
-4.5131E+00,1.99199E-04
-4.5110E+00,2.04407E-04
-4.5090E+00,2.02671E-04
-4.5070E+00,1.87046E-04
-4.5050E+00,2.14824E-04
-4.5030E+00,2.12220E-04
-4.5010E+00,2.10484E-04
-4.4990E+00,2.03539E-04
-4.4969E+00,2.19164E-04
-4.4949E+00,1.80970E-04
-4.4929E+00,1.88782E-04
-4.4909E+00,1.86178E-04
-4.4889E+00,1.89650E-04
-4.4869E+00,1.79234E-04
-4.4849E+00,2.13956E-04
-4.4828E+00,2.04407E-04
-4.4808E+00,2.02671E-04
-4.4788E+00,1.94859E-04
-4.4768E+00,2.77324E-04
-4.4748E+00,1.89650E-04
-4.4728E+00,1.89650E-04
-4.4708E+00,1.81838E-04
-4.4687E+00,1.89650E-04
-4.4667E+00,1.79234E-04
-4.4647E+00,2.07879E-04
-4.4627E+00,2.00935E-04
-4.4607E+00,2.10484E-04
-4.4587E+00,2.05275E-04
-4.4566E+00,2.18296E-04
-4.4546E+00,1.87914E-04
-4.4526E+00,1.89650E-04
-4.4506E+00,1.85310E-04
-4.4486E+00,1.91386E-04
-4.4466E+00,1.89650E-04
-4.4446E+00,2.20900E-04
-4.4425E+00,2.09616E-04
-4.4405E+00,2.10484E-04
-4.4385E+00,2.07011E-04
-4.4365E+00,2.05275E-04
-4.4345E+00,1.89650E-04
-4.4325E+00,2.00067E-04
-4.4305E+00,1.94859E-04
-4.4284E+00,1.83574E-04
-4.4264E+00,1.84442E-04
-4.4244E+00,2.13088E-04
-4.4224E+00,1.99199E-04
-4.4204E+00,2.00067E-04
-4.4184E+00,2.00067E-04
-4.4164E+00,2.00067E-04
-4.4143E+00,1.80970E-04
-4.4123E+00,1.89650E-04
-4.4103E+00,1.85310E-04
-4.4083E+00,1.81838E-04
-4.4063E+00,1.82706E-04
-4.4043E+00,2.07011E-04
-4.4023E+00,2.03539E-04
-4.4002E+00,1.97463E-04
-4.3982E+00,2.00935E-04
-4.3962E+00,2.06143E-04
-4.3942E+00,1.80102E-04
-4.3922E+00,1.92254E-04
-4.3902E+00,1.86178E-04
-4.3881E+00,1.89650E-04
-4.3861E+00,1.90518E-04
-4.3841E+00,2.01803E-04
-4.3821E+00,1.93123E-04
-4.3801E+00,2.72116E-04
-4.3781E+00,1.99199E-04
-4.3761E+00,1.99199E-04
-4.3740E+00,1.83574E-04
-4.3720E+00,1.88782E-04
-4.3700E+00,1.87914E-04
-4.3680E+00,1.87046E-04
-4.3660E+00,1.95727E-04
-4.3640E+00,2.10484E-04
-4.3620E+00,1.98331E-04
-4.3599E+00,1.89650E-04
-4.3579E+00,2.02671E-04
-4.3559E+00,1.99199E-04
-4.3539E+00,1.80102E-04
-4.3519E+00,1.84442E-04
-4.3499E+00,1.88782E-04
-4.3479E+00,1.85310E-04
